FDT36, 12.300000190734863, NLow Fat, 0.11144759505987167, NBaking ods, 33.487400054931641, NOUT049, 1999, NMedium, NULL, NSupermarket Type1, 436.60873413085938
FDO60, 20, NLow Fat, 0.034439228475093842, NBaking ods, 45.108600616455078, NOUT045, 2002, NULL, NTier 2, NSupermarket Type1, 965.32403564453125
FDK24, 9.1949996948242188, NLow Fat, 0.10150037705898285, NBaking ods, 45.274398803710938, NOUT045, 2002, NULL, NTier 2, NSupermarket Type1, 679.11602783203125
FDO60, 20, NLF, 0.034563936293125153, NBaking ods, 45.308601379394531, NOUT017, 2007, NMedium, NTier 2, NSupermarket Type1, 490.69461059570312
FDO60, 20, NLow Fat, 0.034340925514698029, NBaking ods, 45.408599853515625, NOUT013, 1987, NHigh, NTier 3, NSupermarket Type1, 981.38922119140625
FDK24, 20, NLow Fat, 0.10080441832542419, NBaking ods, 45.474399566650391, NOUT027, 1985, NMedium, NTier 3, NSupermarket Type3, 1041.3111572265625
FDK24, 9.1949996948242188, NLow Fat, 0, NBaking ods, 45.674400329589844, NOUT049, 1999, NMedium, NULL, NSupermarket Type1, 445.1746826171875
FDK24, 9.1949996948242188, NLow Fat, 0.10129494220018387, NBaking ods, 46.274398803710938, NOUT046, 1997, NULL, NULL, NSupermarket Type1, 1086.5855712890625
FDK24, 9.1949996948242188, NLow Fat, 0.1018679141998291, NBaking ods, 46.474399566650391, NOUT017, 2007, NMedium, NTier 2, NSupermarket Type1, 461.5186767578125
FDK24, 9.1949996948242188, NLow Fat, 0.10127579420804977, NBaking ods, 46.474399566650391, NOUT035, 2004, NULL, NTier 2, NSupermarket Type1, 950.76239013671875
FDK24, 20, NLow Fat, 0.1773543655872345, NBaking ods, 46.674400329589844, NOUT019, 1985, NULL, NULL, NGrocery Store, 135.82319641113281
FDL48, 20, NRegular, 0.081868037581443787, NBaking ods, 46.803398132324219, NOUT027, 1985, NMedium, NTier 3, NSupermarket Type3, 1069.2747802734375
FDL48, 19.350000381469727, NRegular, 0.13769711554050446, NBaking ods, 47.103401184082031, NOUT010, 1998, NMedium, NTier 3, NGrocery Store, 145.81019592285156
FDK36, 20, NLow Fat, 0.00718037411570549, NBaking ods, 47.403400421142578, NOUT027, 1985, NMedium, NTier 3, NSupermarket Type3, 631.84417724609375
FDW24, 6.8000001907348633, NLow Fat, 0.037465844303369522, NBaking ods, 47.503398895263672, NOUT013, 1987, NHigh, NTier 3, NSupermarket Type1, 534.63739013671875
FDK36, 7.0900001525878906, NLow Fat, 0.0072153140790760517, NBaking ods, 47.603401184082031, NOUT046, 1997, NULL, NULL, NSupermarket Type1, 1458.10205078125
FDK36, 7.0900001525878906, NLow Fat, 0.0072139501571655273, NBaking ods, 47.903400421142578, NOUT035, 2004, NULL, NTier 2, NSupermarket Type1, 583.24078369140625
FDK36, 7.0900001525878906, NLF, 0.0072093098424375057, NBaking ods, 48.103401184082031, NOUT013, 1987, NHigh, NTier 3, NSupermarket Type1, 1069.2747802734375
FDK36, 7.0900001525878906, NLow Fat, 0.00722994701936841, NBaking ods, 48.303398132324219, NOUT045, 2002, NULL, NTier 2, NSupermarket Type1, 359.59466552734375
FDL48, 19.350000381469727, NRegular, 0.0823943242430687, NBaking ods, 48.503398895263672, NOUT049, 1999, NMedium, NULL, NSupermarket Type1, 243.01699829101563
FDP36, 10.395000457763672, NRegular, 0.091172404587268829, NBaking ods, 48.600799560546875, NOUT046, 1997, NULL, NULL, NSupermarket Type1, 545.62176513671875
FDW24, 6.8000001907348633, NLow Fat, 0.037489961832761765, NBaking ods, 48.603401184082031, NOUT035, 2004, NULL, NTier 2, NSupermarket Type1, 291.62039184570312
FDK36, 7.0900001525878906, NLow Fat, 0.012076957151293755, NBaking ods, 48.603401184082031, NOUT010, 1998, NMedium, NTier 3, NGrocery Store, 375.6119384765625
FDL48, 19.350000381469727, NRegular, 0.082250863313674927, NBaking ods, 48.703399658203125, NOUT035, 2004, NULL, NTier 2, NSupermarket Type1, 534.63739013671875
FDL48, 19.350000381469727, NRegular, 0.0822664201259613, NBaking ods, 48.803398132324219, NOUT046, 1997, NULL, NULL, NSupermarket Type1, 340.22378540039062
FDW24, 10.395000457763672, NLow Fat, 0.065652497112751007, NBaking ods, 48.903400421142578, NOUT019, 1985, NULL, NULL, NGrocery Store, 48.603401184082031
FDP36, 10.395000457763672, NRegular, 0.0916881114244461, NBaking ods, 49.000801086425781, NOUT017, 2007, NMedium, NTier 2, NSupermarket Type1, 860.213623046875
FDK36, 7.0900001525878906, NLow Fat, 0, NBaking ods, 49.103401184082031, NOUT018, 2009, NMedium, NTier 3, NSupermarket Type2, 365.55026245117188
FDY12, 9.8000001907348633, NRegular, 0, NBaking ods, 49.200801849365234, NOUT013, 1987, NHigh, NTier 3, NSupermarket Type1, 657.8104248046875
FDL48, 19.350000381469727, NRegular, 0.082197956740856171, NBaking ods, 49.203399658203125, NOUT013, 1987, NHigh, NTier 3, NSupermarket Type1, 729.051025390625
FDL48, 19.350000381469727, Nreg, 0.082731753587722778, NBaking ods, 49.203399658203125, NOUT017, 2007, NMedium, NTier 2, NSupermarket Type1, 777.6544189453125
FDK36, 7.0900001525878906, NLow Fat, 0.0072265318594872952, NBaking ods, 49.303398132324219, NOUT049, 1999, NMedium, NULL, NSupermarket Type1, 381.0216064453125
FDW24, 6.8000001907348633, NLow Fat, 0.037649795413017273, NBaking ods, 49.503398895263672, NOUT018, 2009, NMedium, NTier 3, NSupermarket Type2, 366.919189453125
FDP36, 10.395000457763672, NRegular, 0, NBaking ods, 49.600799560546875, NOUT049, 1999, NMedium, NULL, NSupermarket Type1, 546.53631591796875
FDW24, 6.8000001907348633, NLow Fat, 0.037555348128080368, NBaking ods, 49.603401184082031, NOUT049, 1999, NMedium, NULL, NSupermarket Type1, 972.0679931640625
FDI48, 11.850000381469727, NRegular, 0.055718399584293365, NBaking ods, 49.666599273681641, NOUT046, 1997, NULL, NULL, NSupermarket Type1, 635.63311767578125
FDW24, 6.8000001907348633, NLow Fat, 0.037709146738052368, NBaking ods, 49.703399658203125, NOUT017, 2007, NMedium, NTier 2, NSupermarket Type1, 365.02175903320312
FDL48, 19.350000381469727, NRegular, 0.082433253526687622, NBaking ods, 49.703399658203125, NOUT045, 2002, NULL, NTier 2, NSupermarket Type1, 1057.9368896484375
FDY12, 9.8000001907348633, NRegular, 0.14061103761196137, NBaking ods, 49.800800323486328, NOUT046, 1997, NULL, NULL, NSupermarket Type1, 809.61279296875
FDW24, 6.8000001907348633, NLow Fat, 0.037497051060199738, NBaking ods, 49.903400421142578, NOUT046, 1997, NULL, NULL, NSupermarket Type1, 194.41360473632813
FDY12, 9.8000001907348633, NRegular, 0.14140638709068298, NBaking ods, 50.000801086425781, NOUT017, 2007, NMedium, NTier 2, NSupermarket Type1, 506.00799560546875
FDW24, 10.395000457763672, Nlow fat, 0.037315469235181808, NBaking ods, 50.003398895263672, NOUT027, 1985, NMedium, NTier 3, NSupermarket Type3, 1992.7393798828125
FDP36, 10.395000457763672, NRegular, 0.091357305645942688, NBaking ods, 50.100799560546875, NOUT045, 2002, NULL, NTier 2, NSupermarket Type1, 546.83770751953125
FDL48, 19.350000381469727, NRegular, 0.082601539790630341, NBaking ods, 50.103401184082031, NOUT018, 2009, NMedium, NTier 3, NSupermarket Type2, 1047.0609130859375
FDY12, 9.8000001907348633, NRegular, 0.14089620113372803, NBaking ods, 50.200801849365234, NOUT045, 2002, NULL, NTier 2, NSupermarket Type1, 541.16461181640625
FDW24, 6.8000001907348633, NLow Fat, 0.037573095411062241, NBaking ods, 50.203399658203125, NOUT045, 2002, NULL, NTier 2, NSupermarket Type1, 1166.4815673828125
FDW24, 6.8000001907348633, NLow Fat, 0.062762372195720673, NBaking ods, 50.403400421142578, NOUT010, 1998, NMedium, NTier 3, NGrocery Store, 48.603401184082031
FDK36, 7.0900001525878906, NLow Fat, 0.0072561269626021385, NBaking ods, 50.403400421142578, NOUT017, 2007, NMedium, NTier 2, NSupermarket Type1, 340.22378540039062
FDY12, 9.8000001907348633, NRegular, 0.14118382334709168, NBaking ods, 50.500801086425781, NOUT018, 2009, NMedium, NTier 3, NSupermarket Type2, 253.00399780273438
FDY12, 10.395000457763672, Nreg, 0.1399301290512085, NBaking ods, 50.500801086425781, NOUT027, 1985, NMedium, NTier 3, NSupermarket Type3, 360.90011596679688
FDI48, 11.850000381469727, NRegular, 0.05567203089594841, NBaking ods, 50.566600799560547, NOUT013, 1987, NHigh, NTier 3, NSupermarket Type1, 922.798828125
FDI48, 11.850000381469727, NRegular, 0.055831398814916611, NBaking ods, 50.566600799560547, NOUT045, 2002, NULL, NTier 2, NSupermarket Type1, 635.16705322265625
FDY12, 9.8000001907348633, NRegular, 0.23535405099391937, NBaking ods, 50.800800323486328, NOUT010, 1998, NMedium, NTier 3, NGrocery Store, 101.20159912109375
FDI48, 11.850000381469727, NRegular, 0, NBaking ods, 51.2666015625, NOUT035, 2004, NULL, NTier 2, NSupermarket Type1, 410.1328125
FDP36, 10.395000457763672, NRegular, 0, NBaking ods, 51.400798797607422, NOUT018, 2009, NMedium, NTier 3, NSupermarket Type2, 556.60882568359375
FDI48, 11.850000381469727, NRegular, 0.05603356659412384, NBaking ods, 51.466598510742188, NOUT017, 2007, NMedium, NTier 2, NSupermarket Type1, 974.0654296875
FDP36, 11.850000381469727, NRegular, 0, NBaking ods, 51.900798797607422, NOUT027, 1985, NMedium, NTier 3, NSupermarket Type3, 2595.0400390625
FDP36, 10.395000457763672, NRegular, 0.091155163943767548, NBaking ods, 52.200801849365234, NOUT035, 2004, NULL, NTier 2, NSupermarket Type1, 569.7586669921875
FDY24, 4.880000114440918, NRegular, 0.2234402596950531, NBaking ods, 52.229801177978516, NOUT010, 1998, NMedium, NTier 3, NGrocery Store, 161.78939819335938
FDY12, 9.8000001907348633, NRegular, 0.14058445394039154, NBaking ods, 52.300800323486328, NOUT035, 2004, NULL, NTier 2, NSupermarket Type1, 538.17523193359375
FDP36, 10.395000457763672, NRegular, 0.091096527874469757, NBaking ods, 52.300800323486328, NOUT013, 1987, NHigh, NTier 3, NSupermarket Type1, 2226.435302734375
FDI48, 11.850000381469727, NRegular, 0.055448580533266068, NBaking ods, 52.366600036621094, NOUT027, 1985, NMedium, NTier 3, NSupermarket Type3, 944.4173583984375
FDY24, 11.850000381469727, NRegular, 0.23372937738895416, NBaking ods, 52.4297981262207, NOUT019, 1985, NULL, NULL, NGrocery Store, 224.31840515136719
FDY12, 9.8000001907348633, NRegular, 0.1408296525478363, NBaking ods, 52.500801086425781, NOUT049, 1999, NMedium, NULL, NSupermarket Type1, 565.9586181640625
FDI48, 9.8000001907348633, NRegular, 0.0975557267665863, NBaking ods, 52.7666015625, NOUT019, 1985, NULL, NULL, NGrocery Store, 540.88677978515625
FDN24, 14.100000381469727, NLow Fat, 0.11324600875377655, NBaking ods, 52.795600891113281, NOUT035, 2004, NULL, NTier 2, NSupermarket Type1, 811.41558837890625
FDY24, 4.880000114440918, NRegular, 0.13370075821876526, NBaking ods, 52.9297981262207, NOUT049, 1999, NMedium, NULL, NSupermarket Type1, 1995.402587890625
FDN24, 14.100000381469727, NLF, 0.11317317187786102, NBaking ods, 52.995601654052734, NOUT013, 1987, NHigh, NTier 3, NSupermarket Type1, 821.96173095703125
FDI48, 11.850000381469727, NRegular, 0.0558050274848938, NBaking ods, 53.066600799560547, NOUT049, 1999, NMedium, NULL, NSupermarket Type1, 512.666015625
FDN24, 14.100000381469727, NLow Fat, 0.1134435310959816, NBaking ods, 53.095600128173828, NOUT049, 1999, NMedium, NULL, NSupermarket Type1, 816.02630615234375
FDY24, 4.880000114440918, NRegular, 0, NBaking ods, 53.129798889160156, NOUT035, 2004, NULL, NTier 2, NSupermarket Type1, 808.947021484375
FDI48, 11.850000381469727, NRegular, 0.055945370346307755, NBaking ods, 53.2666015625, NOUT018, 2009, NMedium, NTier 3, NSupermarket Type2, 669.081787109375
FDY24, 4.880000114440918, NRegular, 0.13403700292110443, NBaking ods, 53.329799652099609, NOUT018, 2009, NMedium, NTier 3, NSupermarket Type2, 539.2979736328125
FDY24, 4.880000114440918, NRegular, 0.13349319994449616, NBaking ods, 53.329799652099609, NOUT046, 1997, NULL, NULL, NSupermarket Type1, 281.06936645507812
FDN24, 14.100000381469727, Nlow fat, 0.11390811949968338, NBaking ods, 53.395599365234375, NOUT017, 2007, NMedium, NTier 2, NSupermarket Type1, 982.7208251953125
FDN24, 14.100000381469727, NLow Fat, 0.1137288361787796, NBaking ods, 53.795600891113281, NOUT018, 2009, NMedium, NTier 3, NSupermarket Type2, 826.7845458984375
FDY24, 4.880000114440918, NRegular, 0, NBaking ods, 54.129798889160156, NOUT045, 2002, NULL, NTier 2, NSupermarket Type1, 280.00262451171875
FDN24, 4.880000114440918, NLF, 0.11271892488002777, NBaking ods, 54.295600891113281, NOUT027, 1985, NMedium, NTier 3, NSupermarket Type3, 1310.29443359375
FDN24, 4.880000114440918, NLow Fat, 0.19831664860248566, NBaking ods, 54.395599365234375, NOUT019, 1985, NULL, NULL, NGrocery Store, 272.97799682617188
FDN24, 14.100000381469727, NLow Fat, 0.11326742917299271, NBaking ods, 54.595600128173828, NOUT046, 1997, NULL, NULL, NSupermarket Type1, 1037.31640625
FDY24, 4.880000114440918, NRegular, 0.13424830138683319, NBaking ods, 54.9297981262207, NOUT017, 2007, NMedium, NTier 2, NSupermarket Type1, 289.50201416015625
FDY24, 4.880000114440918, NRegular, 0.13338211178779602, NBaking ods, 55.029800415039062, NOUT013, 1987, NHigh, NTier 3, NSupermarket Type1, 647.1575927734375
FDY24, 4.880000114440918, NRegular, 0.13284675776958466, NBaking ods, 55.829799652099609, NOUT027, 1985, NMedium, NTier 3, NSupermarket Type3, 420.25714111328125
FDN24, 14.100000381469727, NLow Fat, 0.11349713802337647, NBaking ods, 56.195598602294922, NOUT045, 2002, NULL, NTier 2, NSupermarket Type1, 1364.8900146484375
FDL12, 15.850000381469727, NRegular, 0.12232072651386261, NBaking ods, 58.021999359130859, NOUT017, 2007, NMedium, NTier 2, NSupermarket Type1, 993.2205810546875
FDL12, 15.850000381469727, NRegular, 0.12153150141239166, NBaking ods, 59.222000122070312, NOUT013, 1987, NHigh, NTier 3, NSupermarket Type1, 599.219970703125
FDL12, 15.850000381469727, NRegular, 0.12104371190071106, NBaking ods, 59.422000885009766, NOUT027, 1985, NMedium, NTier 3, NSupermarket Type3, 1078.595947265625
FDL12, 15.850000381469727, NRegular, 0.1221282035112381, NBaking ods, 59.521999359130859, NOUT018, 2009, NMedium, NTier 3, NSupermarket Type2, 1018.8975830078125
FDL12, 15.850000381469727, NRegular, 0.21296319365501404, NBaking ods, 59.521999359130859, NOUT019, 1985, NULL, NULL, NGrocery Store, 299.6099853515625
FDL12, 15.850000381469727, NRegular, 0.12160972505807877, NBaking ods, 60.222000122070312, NOUT035, 2004, NULL, NTier 2, NSupermarket Type1, 539.2979736328125
FDL12, 15.850000381469727, NRegular, 0.12163271754980087, NBaking ods, 60.622001647949219, NOUT046, 1997, NULL, NULL, NSupermarket Type1, 2576.64599609375
FDL12, 15.850000381469727, NRegular, 0.121821828186512, NBaking ods, 60.722000122070312, NOUT049, 1999, NMedium, NULL, NSupermarket Type1, 1058.6881103515625
FDL12, 15.850000381469727, NRegular, 0.12187939882278442, NBaking ods, 61.222000122070312, NOUT045, 2002, NULL, NTier 2, NSupermarket Type1, 1047.9981689453125
FDI60, 7.21999979019165, NRegular, 0.06414186954498291, NBaking ods, 61.250999450683594, NOUT010, 1998, NMedium, NTier 3, NGrocery Store, 126.50199890136719
FDL12, 15.850000381469727, NRegular, 0.20358823239803314, NBaking ods, 61.622001647949219, NOUT010, 1998, NMedium, NTier 3, NGrocery Store, 1045.078369140625
FDI60, 7.21999979019165, NRegular, 0.038321219384670258, NBaking ods, 61.851001739501953, NOUT046, 1997, NULL, NULL, NSupermarket Type1, 822.26300048828125
FDI60, 7.21999979019165, NRegular, 0.03839893639087677, NBaking ods, 61.951000213623047, NOUT045, 2002, NULL, NTier 2, NSupermarket Type1, 1518.0240478515625
FDI60, 7.21999979019165, NRegular, 0.038380801677703857, NBaking ods, 62.351001739501953, NOUT049, 1999, NMedium, NULL, NSupermarket Type1, 885.51397705078125
FDI60, 7.21999979019165, NRegular, 0.038135647773742676, NBaking ods, 62.851001739501953, NOUT027, 1985, NMedium, NTier 3, NSupermarket Type3, 1648.090576171875
FDI60, 7.21999979019165, NRegular, 0.038477323949337006, NBaking ods, 62.951000213623047, NOUT018, 2009, NMedium, NTier 3, NSupermarket Type2, 1138.5179443359375
FDI60, 7.21999979019165, NRegular, 0.038313973695039749, NBaking ods, 63.951000213623047, NOUT035, 2004, NULL, NTier 2, NSupermarket Type1, 507.89883422851562
FDY11, 7.21999979019165, NRegular, 0.029417302459478378, NBaking ods, 64.11419677734375, NOUT027, 1985, NMedium, NTier 3, NSupermarket Type3, 2179.472412109375
FDI60, 7.21999979019165, NRegular, 0.038289330899715424, NBaking ods, 64.7509994506836, NOUT013, 1987, NHigh, NTier 3, NSupermarket Type1, 126.50199890136719
FDI60, 7.21999979019165, NRegular, 0.038537982851266861, NBaking ods, 64.950996398925781, NOUT017, 2007, NMedium, NTier 2, NSupermarket Type1, 506.4619140625
